sample_id	fastq_r1	fastq_r2	library	platform	run_id	strandedness
SRR1039508	data/raw/fastq/SRR1039508_1.fastq.gz	data/raw/fastq/SRR1039508_2.fastq.gz	lib1	ILLUMINA	PRJNA229998	unstranded
SRR1039509	data/raw/fastq/SRR1039509_1.fastq.gz	data/raw/fastq/SRR1039509_2.fastq.gz	lib1	ILLUMINA	PRJNA229998	unstranded
